9/10 8:30 ET,At New England,-7,Pittsburgh,51,2015,1
9/13 1:00 ET,Green Bay,-6.5,At Chicago,48.5,2015,1
9/13 1:00 ET,Kansas City,-1,At Houston,40.5,2015,1
9/13 1:00 ET,At NY Jets,-3.5,Cleveland,38.5,2015,1
9/13 1:00 ET,Indianapolis,-1,At Buffalo,44.5,2015,1
9/13 1:00 ET,Miami,-4,At Washington,45.5,2015,1
9/13 1:00 ET,Carolina,-3,At Jacksonville,41,2015,1
9/13 1:00 ET,Seattle,-3.5,At St. Louis,41,2015,1
9/13 4:05 ET,At Arizona,-2.5,New Orleans,48.5,2015,1
9/13 4:05 ET,At San Diego,-3.5,Detroit,45.5,2015,1
9/13 4:25 ET,At Tampa Bay,-3,Tennessee,40.5,2015,1
9/13 4:25 ET,Cincinnati,-3,At Oakland,43,2015,1
9/13 4:25 ET,At Denver,-4.5,Baltimore,46.5,2015,1
9/13 8:30 ET,At Dallas,-7,NY Giants,52.5,2015,1
9/14 7:10 ET,Philadelphia,-3,At Atlanta,56,2015,1
9/14 10:20 ET,Minnesota,-2.5,At San Francisco,42.5,2015,1
9/17 8:25 ET,At Kansas City,-3,Denver,42,2015,2
9/20 1:00 ET,At Carolina,-3,Houston,41,2015,2
9/20 1:00 ET,At New Orleans,-9,Tampa Bay,47,2015,2
9/20 1:00 ET,At Pittsburgh,-6,San Francisco,46,2015,2
9/20 1:00 ET,At Minnesota,-2.5,Detroit,44,2015,2
9/20 1:00 ET,At Buffalo,-1,New England,44.5,2015,2
9/20 1:00 ET,Arizona,-2,At Chicago,46,2015,2
9/20 1:00 ET,Tennessee,-1,At Cleveland,41,2015,2
9/20 1:00 ET,At Cincinnati,-3.5,San Diego,48,2015,2
9/20 1:00 ET,St. Louis,-3,At Washington,41,2015,2
9/20 1:00 ET,At NY Giants,-2,Atlanta,50,2015,2
9/20 4:05 ET,Baltimore,-6,At Oakland,42,2015,2
9/20 4:05 ET,Miami,-6,At Jacksonville,42,2015,2
9/20 4:25 ET,At Philadelphia,-6.5,Dallas,54,2015,2
9/20 8:30 ET,At Green Bay,-3,Seattle,49.5,2015,2
9/21 8:30 ET,At Indianapolis,-6,NY Jets,46,2015,2
9/24 8:25 ET,At NY Giants,-3,Washington,45,2015,3
9/27 1:00 ET,At St. Louis,-1,Pittsburgh,48.5,2015,3
9/27 1:00 ET,At Minnesota,-2,San Diego,45.5,2015,3
9/27 1:00 ET,At Houston,-6,Tampa Bay,41,2015,3
9/27 1:00 ET,At NY Jets,-3,Philadelphia,47,2015,3
9/27 1:00 ET,At Carolina,-9.5,New Orleans,43,2015,3
9/27 1:00 ET,At New England,-14,Jacksonville,49,2015,3
9/27 1:00 ET,At Baltimore,-1.5,Cincinnati,45.5,2015,3
9/27 1:00 ET,At Cleveland,-3.5,Oakland,44,2015,3
9/27 1:00 ET,Indianapolis,-3.5,At Tennessee,46.5,2015,3
9/27 1:00 ET,At Dallas,PK,Atlanta,43.5,2015,3
9/27 4:05 ET,At Arizona,-7,San Francisco,45,2015,3
9/27 4:25 ET,At Seattle,-16.5,Chicago,43.5,2015,3
9/27 4:25 ET,At Miami,-1,Buffalo,43.5,2015,3
9/27 8:30 ET,Denver,-3,At Detroit,45,2015,3
9/28 8:30 ET,At Green Bay,-5.5,Kansas City,47.5,2015,3
10/1 8:25 ET,Baltimore,-3,At Pittsburgh,44,2015,4
10/4 9:30 AM,NY Jets,-2.5,Miami (At London),42.5,2015,4
10/4 1:00 ET,At Indianapolis,-4,Jacksonville,43.5,2015,4
10/4 1:00 ET,At Atlanta,-4.5,Houston,47.5,2015,4
10/4 1:00 ET,Carolina,-3,At Tampa Bay,40.5,2015,4
10/4 1:00 ET,At Buffalo,-6,NY Giants,46.5,2015,4
10/4 1:00 ET,Oakland,-3,At Chicago,44.5,2015,4
10/4 1:00 ET,Philadelphia,-3,At Washington,45.5,2015,4
10/4 1:00 ET,At Cincinnati,-3.5,Kansas City,45,2015,4
10/4 4:05 ET,At San Diego,-5,Cleveland,44.5,2015,4
10/4 4:25 ET,Green Bay,-7.5,At San Francisco,48,2015,4
10/4 4:25 ET,At Denver,-7,Minnesota,43.5,2015,4
10/4 4:25 ET,At Arizona,-7,St. Louis,43.5,2015,4
10/4 8:30 ET,At New Orleans,-3,Dallas,48.5,2015,4
10/5 8:30 ET,At Seattle,-10,Detroit,43,2015,4
10/8 8:25 ET,At Houston,-5,Indianapolis,41,2015,5
10/11 1:00 ET,At Tampa Bay,-1,Jacksonville,41.5,2015,5
10/11 1:00 ET,Buffalo,-1,At Tennessee,43,2015,5
10/11 1:00 ET,At Baltimore,-6.5,Cleveland,43,2015,5
